City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
376,Tarn Taran,IN,31.45,74.9253,89.62,61,53,2.44,broken clouds
377,Aswan,EG,24.0934,32.907,103.3,16,0,13.8,clear sky
378,Mount Pleasant,US,32.7941,-79.8626,75.99,98,90,0.0,fog
379,Bambanglipuro,ID,-7.95,110.2833,78.17,79,35,12.48,scattered clouds
380,Wuhu,CN,31.3366,118.3755,84.11,86,3,7.65,clear sky
381,Amilly,FR,47.9728,2.7719,72.54,64,10,9.6,clear sky
382,Leshukonskoye,RU,64.8989,45.7622,56.79,55,100,3.98,overcast clouds
383,Siavonga,ZM,-16.5382,28.7088,73.15,39,74,4.21,broken clouds
384,Carnarvon,AU,-24.8667,113.6333,68.07,72,90,10.36,overcast clouds
385,Umm Lajj,SA,25.0213,37.2685,90.09,58,63,14.7,broken clouds
386,San Rafael Del Sur,NI,11.8485,-86.4384,74.37,81,94,11.23,overcast clouds
387,Kaeo,NZ,-35.1,173.7833,53.33,94,89,4.61,overcast clouds
388,Tateyama,JP,34.9833,139.8667,83.01,85,3,12.86,clear sky
389,Karratha,AU,-20.7377,116.8463,71.24,70,5,11.5,clear sky
390,Nuuk,GL,64.1835,-51.7216,41.88,93,96,4.0,overcast clouds
391,Spearfish,US,44.4908,-103.8594,71.1,71,75,5.99,moderate rain
392,Port Hedland,AU,-20.3167,118.5667,71.65,73,2,12.66,clear sky
393,Quarai,BR,-30.3875,-56.4514,32.99,87,4,4.54,clear sky
394,Konakovo,RU,56.7,36.7667,80.82,46,95,7.99,overcast clouds
395,Sovetskaya,RU,44.7769,41.1722,88.74,28,0,13.15,clear sky
396,Asfi,MA,32.2994,-9.2372,76.78,67,51,15.97,broken clouds
397,Pampierstad,ZA,-27.7832,24.6877,71.78,17,0,8.95,clear sky
398,Yemelyanovo,RU,56.1681,92.6767,68.81,52,40,4.47,scattered clouds
399,Acari,PE,-15.4311,-74.6158,64.06,70,66,3.11,broken clouds
400,Ulladulla,AU,-35.35,150.4667,52.7,72,0,6.4,clear sky
401,Buldana,IN,20.5333,76.1833,75.7,78,100,15.3,overcast clouds
402,Porbandar,IN,21.6422,69.6093,83.41,80,100,25.14,overcast clouds
403,Maniitsoq,GL,65.4167,-52.9,45.63,76,98,3.38,overcast clouds
404,Rocha,UY,-34.4833,-54.3333,39.78,85,43,9.37,scattered clouds
405,Bilibino,RU,68.0546,166.4372,33.51,83,100,6.96,overcast clouds
406,Nouadhibou,MR,20.931,-17.0347,75.18,78,20,13.8,few clouds
