City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
629,Boyolangu,ID,75.61,scattered clouds,-8.1181,111.8935,Yos ega cv
630,Richards Bay,ZA,77.76,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
632,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
635,Paciran,ID,80.53,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
636,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
637,Nagato,JP,84.15,scattered clouds,34.3833,131.2,いそう庵
638,Bose,IT,82.51,clear sky,45.4612,8.0137,Locanda Borgo Antico
641,Halvad,IN,87.57,overcast clouds,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
642,Pombas,CV,76.78,broken clouds,17.1503,-25.0201,Paul Paradis
645,Saint-Esteve,FR,89.24,clear sky,42.7131,2.843,ibis Styles Perpignan Centre Gare - Rénovation complète
646,Sialkot,PK,87.62,smoke,32.5101,74.5431,Qasim Hall (New Boys Hostel KMSMC)
647,Marumori,JP,76.91,moderate rain,37.9167,140.7667,浪花屋旅館
653,Mitsamiouli,KM,78.12,light rain,-11.3847,43.2844,Foyer ADM
665,Dovers,VC,78.39,overcast clouds,12.8833,-61.1833,Ocean Breeze
666,Maibong,IN,76.33,overcast clouds,25.3,93.1667,Juhi Cottage Maibang
671,Abha,SA,82.22,scattered clouds,18.2164,42.5053,Abha Hotel
674,Tainan,TW,85.87,broken clouds,22.9908,120.2133,Tie Dao Hotel
675,Huatulco,MX,75.87,broken clouds,15.8436,-96.3267,Fonatur Operadora Portuaría
676,Gizo,SB,81.95,few clouds,-8.103,156.8419,Imagination Island
677,Prattville,US,76.39,mist,32.464,-86.4597,InTown Suites Extended Stay Prattville AL
678,Cockburn Town,TC,81.95,clear sky,21.4612,-71.1419,Osprey Beach Hotel
